Crash ID,County,Crash Severity,Crash Time,Day of Week,Latitude,Longitude,Weather Condition
12324018,Harris,Possible Injury,53,Saturday,29.73790126,-95.47665313,Clear
12299559,Harris,Not Injured,513,Sunday,29.72304768,-95.50124154,Clear
12304499,Harris,Not Injured,135,Sunday,29.86911478,-95.41280308,Cloudy
12306133,Harris,Not Injured,2159,Sunday,29.73156481,-95.50132306,Clear
12489724,Harris,Possible Injury,1540,Sunday,29.6789929,-95.49391858,Cloudy
12301681,Harris,Not Injured,128,Monday,29.68274482,-95.5747208,Clear
12300493,Harris,Non-Incapacitating Injury,125,Tuesday,29.72185493,-95.55743521,Clear
12347553,Harris,Incapacitating Injury,1557,Tuesday,30.05473182,-95.174731,Clear
12301533,Harris,Not Injured,155,Wednesday,29.79739529,-95.4116334,Clear
12326621,Harris,Possible Injury,2150,Wednesday,29.73717013,-95.53868435,Clear
12420993,Harris,Possible Injury,2150,Wednesday,29.73717013,-95.53868435,Clear
12301536,Harris,Unknown,2240,Thursday,29.81742247,-95.41555713,Clear
12301888,Harris,Not Injured,118,Thursday,29.74280208,-95.39710021,Clear
12301953,Harris,Possible Injury,105,Thursday,29.7843048,-95.35387309,Clear
12299164,Harris,Unknown,235,Friday,29.74469654,-95.40860523,Clear
12300023,Harris,Not Injured,2320,Friday,29.84805478,-95.3238231,Clear
12301753,Harris,Not Injured,2020,Friday,29.88296673,-95.46516623,Cloudy
12489752,Harris,Not Injured,253,Friday,29.75684823,-95.38876525,Clear
12660509,Harris,Not Injured,2145,Friday,29.73746481,-95.51417305,Clear
12299189,Harris,Unknown,2300,Saturday,29.77729318,-95.29819181,Clear
12300509,Harris,Not Injured,2222,Saturday,29.84502478,-95.3021631,Clear
12301760,Harris,Incapacitating Injury,2215,Saturday,29.87084773,-95.36614961,Clear
12301788,Harris,Not Injured,2203,Saturday,29.70369413,-95.59622473,Clear
12302430,Harris,Unknown,245,Saturday,29.7707548,-95.40090308,Clear
12305908,Harris,Not Injured,1650,Saturday,29.77978481,-95.60647303,Clear
12306151,Harris,Not Injured,2230,Saturday,29.81764584,-95.50959021,Clear
12311739,Harris,Not Injured,25,Saturday,29.73919502,-95.47066353,Clear
12350039,Harris,Not Injured,1820,Saturday,29.63112889,-95.50624319,Clear
12353203,Harris,Unknown,1820,Saturday,29.63112889,-95.50624319,Clear
12302400,Harris,Not Injured,210,Sunday,29.66799777,-95.53247872,Clear
12350536,Harris,Not Injured,53,Sunday,29.61391365,-95.38907752,Clear
12408609,Harris,Killed,150,Sunday,29.76084716,-95.39814995,Clear
12408610,Harris,Killed,138,Sunday,29.77580644,-95.21823744,Clear
12299022,Harris,Not Injured,1115,Monday,29.60026957,-95.31628716,Clear
12302018,Harris,Unknown,332,Monday,29.78234668,-95.28395307,Clear
12302747,Harris,Possible Injury,48,Tuesday,29.74045448,-95.46695227,Clear
12303014,Harris,Possible Injury,1920,Tuesday,29.72303999,-95.41851308,Clear
12385575,Harris,Killed,1935,Tuesday,29.63286025,-95.33920997,Clear
12300679,Harris,Possible Injury,2325,Wednesday,29.73266596,-95.65360669,Clear
12302905,Harris,Possible Injury,1825,Wednesday,29.70626481,-95.41257308,Clear
12390560,Harris,Killed,1006,Wednesday,29.81024846,-95.51773032,Clear
12300806,Harris,Not Injured,1900,Thursday,29.78888479,-95.39416308,Clear
12300912,Harris,Not Injured,1115,Friday,29.81725479,-95.44615307,Clear
12302154,Harris,Non-Incapacitating Injury,230,Friday,29.70331259,-95.60451204,Clear
12305916,Harris,Not Injured,525,Friday,29.77105479,-95.18644314,Clear
12321880,Harris,Not Injured,2320,Friday,29.96615182,-95.42302307,Clear
12353352,Harris,Not Injured,1945,Friday,29.81193479,-95.47449306,Cloudy
12281816,Harris,Non-Incapacitating Injury,2341,Saturday,29.59991869,-95.26275225,Clear
12300521,Harris,Possible Injury,325,Saturday,29.8481137,-95.31947889,Clear
12300608,Harris,Not Injured,330,Saturday,29.73279478,-95.41865365,Cloudy
12300615,Harris,Not Injured,2030,Saturday,29.72535588,-95.53888774,Rain
12304350,Harris,Non-Incapacitating Injury,2210,Saturday,29.70813882,-95.31686275,Clear
12304403,Harris,Possible Injury,1919,Saturday,29.7726348,-95.3155431,Cloudy
12305922,Harris,Possible Injury,1700,Saturday,29.77057547,-95.18329627,Cloudy
12302444,Harris,Incapacitating Injury,1730,Sunday,29.8082956,-95.33597553,Cloudy
12310692,Harris,Not Injured,325,Sunday,29.87754099,-95.48374651,Clear
12326235,Harris,Not Injured,315,Sunday,29.68959687,-95.55339609,Clear
12390561,Harris,Killed,235,Sunday,29.75308487,-95.47957117,Clear
12302666,Harris,Unknown,610,Monday,29.77533852,-95.29190885,Rain
12313270,Harris,Possible Injury,2130,Tuesday,29.71668239,-95.26301024,Clear
12299769,Harris,Non-Incapacitating Injury,705,Wednesday,29.70565481,-95.28989311,Clear
12304447,Harris,Not Injured,2000,Wednesday,29.78442833,-95.55240386,Clear
12304990,Harris,Unknown,2030,Wednesday,29.72615704,-95.64396091,Clear
12315133,Harris,Not Injured,2145,Wednesday,29.66153895,-95.54446305,Clear
12764084,Harris,Killed,327,Wednesday,29.61348528,-95.43901485,Clear
